elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.6707498,674,-1440,2,1388,-1247,-830,857,732
1.6712499,675,-1441,2,1387,-1247,-830,857,732
1.6717498,674,-1440,2,1387,-1246,-830,857,731
1.6722498,674,-1440,2,1387,-1247,-830,857,732
1.6727498,674,-1440,2,1387,-1246,-830,856,732
1.6732498,673,-1440,2,1387,-1247,-830,856,731
1.6737498,673,-1440,2,1387,-1247,-830,856,731
1.6742498,673,-1440,2,1388,-1246,-830,856,731
1.6747499,674,-1440,1,1388,-1247,-830,856,732
1.6752498,674,-1440,1,1388,-1247,-830,856,731
1.6757498,674,-1440,1,1388,-1247,-830,856,732
1.6762499,675,-1441,2,1387,-1246,-830,856,731
1.6767498,676,-1442,2,1386,-1246,-830,856,731
1.6772498,676,-1442,2,1386,-1246,-830,856,731
1.6777499,676,-1442,2,1386,-1247,-830,857,732
1.6782498,676,-1442,2,1386,-1247,-830,857,731
1.6787498,676,-1442,2,1387,-1247,-830,857,732
1.6792498,675,-1441,2,1386,-1247,-830,857,731
1.6797498,675,-1441,2,1386,-1247,-830,857,731
1.6802498,675,-1440,2,1387,-1247,-830,857,732
1.6807498,675,-1441,2,1387,-1247,-830,857,732
1.6812499,674,-1441,2,1388,-1247,-830,857,732
1.6817498,675,-1441,2,1387,-1247,-829,857,732
1.6822498,675,-1441,1,1388,-1247,-830,857,732
1.6827499,675,-1441,1,1388,-1247,-830,856,732
1.6832498,675,-1442,1,1388,-1247,-830,857,732
1.6837498,675,-1441,2,1387,-1247,-830,857,732
1.6842498,675,-1441,1,1387,-1247,-830,857,732
1.6847498,675,-1441,2,1387,-1247,-830,857,731
1.6852498,675,-1441,2,1387,-1247,-829,857,732
1.6857498,675,-1441,2,1387,-1247,-830,857,731
1.6862499,675,-1441,1,1387,-1247,-830,857,731
1.6867498,675,-1441,2,1387,-1247,-829,857,731
1.6872498,675,-1441,2,1387,-1247,-830,857,732
1.6877499,674,-1440,2,1387,-1247,-829,857,732
1.6882498,674,-1441,2,1387,-1247,-830,857,732
1.6887498,675,-1441,2,1387,-1247,-829,857,731
1.6892499,675,-1441,2,1387,-1247,-830,857,732
1.6897498,674,-1441,2,1388,-1247,-830,857,731
1.6902498,674,-1440,2,1387,-1248,-830,857,732
1.6907498,673,-1440,2,1387,-1247,-830,857,732
1.6912498,674,-1439,2,1387,-1247,-830,857,732
1.6917498,674,-1440,2,1388,-1247,-829,857,732
1.6922498,674,-1440,1,1388,-1247,-830,857,732
1.6927499,673,-1439,1,1387,-1247,-830,857,732
1.6932498,674,-1440,1,1387,-1247,-830,857,732
1.6937498,674,-1440,2,1387,-1246,-830,856,732
1.6942499,674,-1440,1,1387,-1247,-829,857,732
1.6947498,674,-1441,1,1387,-1246,-829,856,732
1.6952498,674,-1441,1,1386,-1247,-829,857,732
1.6957498,674,-1440,1,1386,-1247,-829,857,732
1.6962498,674,-1440,1,1387,-1246,-830,857,731
1.6967498,674,-1440,1,1387,-1247,-829,857,732
1.6972498,674,-1440,2,1387,-1246,-830,857,732
1.6977499,674,-1440,2,1388,-1247,-829,857,732
1.6982498,674,-1440,2,1387,-1246,-829,857,732
1.6987498,674,-1441,1,1387,-1246,-830,857,732
1.6992499,674,-1441,1,1387,-1246,-829,856,732
