elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
2.1876502,-170,218,10,633,-104,-327,-6457,-435
2.1881502,-170,218,10,633,-104,-327,-6457,-435
2.1886501,-170,218,10,633,-104,-327,-6457,-434
2.18915,-171,218,9,633,-104,-326,-6457,-435
2.1896503,-171,218,10,633,-105,-327,-6458,-434
2.1901503,-171,218,10,633,-104,-327,-6458,-434
2.1906502,-171,218,10,634,-105,-326,-6458,-434
2.1911502,-171,218,10,634,-104,-327,-6457,-434
2.1916502,-171,217,9,633,-104,-326,-6458,-434
2.19215,-171,217,10,633,-104,-326,-6458,-434
2.19265,-171,217,10,633,-104,-326,-6458,-434
2.1931503,-171,218,10,633,-103,-326,-6458,-434
2.1936502,-171,218,10,633,-103,-326,-6458,-434
2.1941502,-172,218,10,633,-103,-326,-6457,-434
2.1946502,-171,218,10,633,-103,-326,-6457,-434
2.1951501,-172,218,10,633,-104,-326,-6458,-434
2.19565,-172,217,10,633,-103,-326,-6458,-434
2.19615,-171,218,10,633,-104,-326,-6457,-434
2.1966503,-171,217,10,633,-103,-326,-6458,-434
2.1971502,-171,217,10,633,-103,-327,-6458,-434
2.1976502,-171,217,10,633,-103,-326,-6458,-434
2.1981502,-170,217,10,633,-103,-326,-6457,-435
2.1986501,-170,217,10,633,-102,-327,-6457,-434
2.19915,-170,218,10,633,-103,-327,-6456,-434
2.1996503,-170,218,10,633,-103,-327,-6456,-434
2.2001503,-170,219,10,633,-103,-327,-6456,-434
2.2006502,-171,219,10,633,-102,-326,-6457,-434
2.2011502,-171,220,10,633,-103,-326,-6456,-434
2.2016501,-171,219,10,633,-103,-326,-6457,-434
2.20215,-171,219,10,632,-102,-326,-6457,-434
2.20265,-171,219,11,633,-103,-326,-6457,-434
2.2031503,-171,219,10,633,-102,-326,-6458,-434
2.2036502,-171,219,10,633,-102,-326,-6458,-434
2.2041502,-171,219,11,633,-102,-326,-6457,-434
2.2046502,-171,219,11,633,-103,-326,-6457,-434
2.2051501,-171,219,11,633,-102,-326,-6457,-434
2.20565,-171,218,10,633,-102,-327,-6457,-434
2.2061503,-171,219,10,633,-102,-326,-6457,-435
2.2066503,-171,218,10,634,-102,-326,-6457,-434
2.2071502,-171,218,11,633,-102,-326,-6457,-434
2.2076502,-171,218,10,633,-102,-326,-6457,-434
2.2081501,-171,218,10,633,-102,-326,-6457,-434
2.20865,-172,219,10,633,-102,-327,-6457,-434
2.20915,-171,218,11,633,-102,-326,-6457,-434
2.2096503,-171,218,10,633,-102,-326,-6457,-434
2.2101502,-171,218,11,633,-102,-327,-6456,-434
2.2106502,-170,218,11,633,-102,-326,-6457,-434
2.2111502,-171,217,11,633,-102,-326,-6456,-434
2.2116501,-171,217,11,633,-102,-327,-6456,-434
2.21215,-171,218,10,633,-102,-327,-6456,-434
2.2126503,-171,218,10,633,-102,-327,-6457,-434
2.2131503,-171,218,11,633,-101,-326,-6457,-434
2.2136502,-171,219,10,633,-102,-326,-6457,-434
2.2141502,-171,218,11,633,-102,-326,-6457,-434
2.2146502,-171,218,11,633,-102,-326,-6457,-434
2.21515,-171,218,11,633,-102,-326,-6457,-434
2.21565,-171,218,10,633,-101,-326,-6458,-434
2.2161503,-171,218,11,633,-101,-326,-6458,-434
2.2166502,-171,218,11,633,-101,-326,-6458,-434
2.2171502,-171,218,11,633,-101,-326,-6458,-434
2.2176502,-171,218,11,633,-101,-326,-6457,-434
2.2181501,-171,218,11,633,-101,-326,-6458,-434
2.21865,-171,218,11,633,-101,-326,-6458,-434
2.21915,-171,218,11,633,-101,-326,-6458,-434
2.2196503,-171,218,11,633,-101,-326,-6457,-434
2.2201502,-171,218,11,633,-101,-326,-6457,-434
2.2206502,-171,218,11,633,-101,-326,-6456,-434
2.2211502,-171,218,11,633,-101,-326,-6456,-434
2.2216501,-171,218,11,632,-101,-326,-6457,-434
2.22215,-171,218,11,632,-101,-326,-6457,-434
2.2226503,-170,218,11,633,-101,-326,-6457,-434
2.2231503,-170,218,11,633,-101,-326,-6457,-434
2.2236502,-170,218,10,633,-101,-326,-6457,-434
2.2241502,-170,218,10,633,-102,-326,-6457,-434
2.2246501,-170,218,10,633,-103,-326,-6457,-434
2.22515,-170,218,10,633,-103,-326,-6458,-434
2.22565,-170,218,10,634,-104,-326,-6458,-434
2.2261503,-170,218,10,634,-105,-326,-6458,-434
2.2266502,-170,218,10,634,-105,-326,-6458,-434
2.2271502,-171,218,10,634,-106,-326,-6458,-434
2.2276502,-171,218,9,634,-106,-326,-6459,-434
2.2281501,-171,218,10,634,-106,-326,-6458,-434
2.22865,-171,218,10,634,-106,-326,-6458,-434
2.2291503,-171,218,10,634,-106,-326,-6458,-434
2.2296503,-171,218,10,633,-105,-326,-6458,-434
