elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.79265,471,-674,-397,271,-476,125,797,-294
1.7931501,472,-674,-397,271,-476,125,797,-293
1.79365,471,-674,-397,271,-476,125,797,-293
1.79415,472,-674,-396,271,-475,125,797,-293
1.7946501,473,-675,-397,271,-476,125,797,-293
1.79515,474,-676,-397,272,-476,125,797,-294
1.79565,475,-677,-397,272,-476,125,796,-294
1.7961501,475,-677,-397,272,-476,125,797,-294
1.79665,475,-676,-397,272,-476,125,796,-294
1.79715,475,-676,-397,272,-476,125,797,-294
1.79765,474,-676,-397,272,-476,125,796,-294
1.7981501,475,-676,-397,273,-476,125,797,-294
1.79865,475,-677,-397,273,-476,125,797,-294
1.79915,475,-677,-397,272,-476,125,797,-294
1.7996501,475,-677,-396,271,-476,125,797,-294
1.80015,475,-677,-396,271,-476,125,797,-294
1.80065,474,-677,-396,271,-476,125,797,-294
1.8011501,475,-677,-396,271,-477,125,798,-294
1.80165,475,-676,-397,271,-476,125,797,-295
1.80215,474,-677,-397,272,-476,125,797,-294
1.80275,474,-677,-397,271,-476,125,797,-294
1.8032501,475,-677,-397,271,-476,124,797,-294
1.80375,475,-677,-397,271,-476,125,797,-294
1.80425,475,-677,-396,270,-476,125,797,-294
1.8047501,475,-677,-397,271,-476,125,797,-293
1.80525,474,-676,-397,271,-476,125,797,-294
1.80575,474,-676,-397,271,-476,125,796,-293
1.8062501,474,-677,-397,270,-476,125,796,-294
1.80675,474,-677,-396,270,-475,125,796,-294
1.80725,474,-677,-396,270,-476,125,796,-294
1.80775,474,-677,-396,270,-475,125,796,-294
1.8082501,474,-677,-396,271,-476,125,796,-294
1.80875,474,-677,-397,273,-476,125,796,-294
1.80925,474,-677,-397,273,-476,125,796,-294
1.8097501,474,-677,-397,273,-476,125,797,-294
1.81025,474,-676,-398,272,-476,125,797,-294
1.81075,473,-675,-397,273,-476,125,797,-295
1.8112501,474,-675,-396,272,-475,125,796,-295
1.81175,474,-675,-396,272,-476,124,796,-295
1.81225,474,-675,-396,272,-475,125,796,-294
1.81275,474,-675,-397,272,-476,124,796,-294
1.8132501,474,-675,-397,271,-476,124,796,-294
1.81375,473,-674,-397,272,-476,124,796,-294
1.81425,472,-673,-396,273,-476,124,797,-295
1.8147501,471,-673,-397,272,-477,124,798,-294
1.81525,470,-673,-396,272,-476,124,798,-295
1.81575,470,-673,-397,272,-477,124,798,-294
1.8162501,471,-674,-397,272,-476,125,797,-294
1.81675,474,-677,-397,272,-476,125,797,-294
1.81725,475,-678,-397,272,-476,126,797,-293
1.8177501,476,-679,-397,272,-476,126,797,-294
