elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.6746502,1961,-1263,-932,645,-664,-2771,1166,-2691
1.6751502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6756501,1961,-1263,-931,645,-664,-2772,1166,-2691
1.6761502,1961,-1262,-932,645,-664,-2771,1166,-2691
1.6766502,1960,-1262,-932,645,-664,-2771,1166,-2691
1.6771501,1960,-1262,-932,645,-664,-2771,1165,-2691
1.6776501,1960,-1262,-931,645,-664,-2771,1165,-2691
1.6781502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6786501,1961,-1262,-932,645,-664,-2771,1165,-2691
1.6791501,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6796502,1961,-1262,-932,645,-664,-2771,1165,-2691
1.6801502,1961,-1262,-931,645,-664,-2771,1165,-2691
1.6806501,1961,-1262,-931,645,-664,-2771,1165,-2691
1.6811502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6816502,1961,-1262,-931,645,-664,-2771,1165,-2691
1.6821501,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6826502,1961,-1262,-931,644,-664,-2771,1165,-2690
1.6831502,1961,-1262,-931,644,-664,-2771,1165,-2690
1.6836501,1961,-1262,-931,644,-665,-2771,1165,-2690
1.6841501,1961,-1262,-931,645,-665,-2771,1165,-2691
1.6846502,1961,-1262,-931,645,-665,-2771,1165,-2691
1.6851501,1961,-1262,-931,645,-665,-2771,1166,-2692
1.6856501,1961,-1262,-931,645,-665,-2771,1166,-2692
1.6861502,1961,-1262,-932,645,-665,-2771,1165,-2691
1.6866502,1961,-1262,-931,645,-664,-2771,1165,-2692
1.6871501,1961,-1262,-931,644,-664,-2771,1165,-2692
1.6876502,1961,-1262,-931,645,-665,-2771,1166,-2691
1.6881502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6886501,1961,-1262,-931,645,-664,-2771,1165,-2691
1.6891501,1961,-1262,-931,644,-665,-2771,1166,-2691
1.6896502,1961,-1262,-931,644,-664,-2771,1166,-2691
1.6901501,1961,-1262,-931,645,-665,-2771,1165,-2691
1.6906501,1961,-1262,-931,644,-664,-2771,1166,-2691
1.6911502,1961,-1262,-931,644,-664,-2771,1165,-2691
1.6916502,1961,-1262,-931,644,-664,-2771,1165,-2691
1.6921501,1961,-1262,-931,645,-663,-2771,1165,-2691
1.6926502,1961,-1262,-931,644,-664,-2771,1165,-2690
1.6931502,1961,-1262,-931,644,-664,-2771,1166,-2690
1.6936501,1961,-1262,-931,644,-665,-2771,1165,-2691
1.6941502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6946502,1961,-1262,-931,645,-664,-2771,1166,-2691
1.6951501,1961,-1262,-931,645,-665,-2771,1165,-2691
1.6956501,1961,-1262,-931,644,-665,-2771,1165,-2692
1.6961502,1961,-1262,-931,644,-665,-2771,1166,-2691
1.6966501,1961,-1262,-931,644,-664,-2771,1165,-2691
1.6971501,1961,-1262,-931,644,-663,-2771,1165,-2691
1.6976502,1961,-1263,-931,644,-664,-2771,1165,-2691
1.6981502,1961,-1262,-931,644,-664,-2771,1165,-2691
1.6986501,1961,-1263,-931,644,-663,-2771,1165,-2691
1.6991502,1961,-1263,-931,644,-664,-2771,1165,-2691
1.6996502,1961,-1263,-932,644,-664,-2771,1165,-2691
1.7001501,1961,-1262,-931,644,-664,-2771,1165,-2691
1.7006501,1961,-1262,-931,644,-664,-2771,1166,-2691
1.7011502,1961,-1262,-931,644,-664,-2771,1165,-2691
1.7016501,1961,-1262,-931,644,-664,-2771,1165,-2691
1.7021501,1962,-1262,-931,644,-665,-2771,1165,-2690
1.7026502,1961,-1262,-931,644,-664,-2771,1165,-2690
1.7031502,1961,-1262,-931,644,-664,-2771,1165,-2690
1.7036501,1961,-1262,-932,644,-663,-2771,1165,-2690
1.7041502,1961,-1262,-932,645,-664,-2771,1166,-2690
1.7046502,1961,-1262,-932,644,-664,-2771,1165,-2691
1.7051501,1961,-1262,-932,644,-664,-2771,1166,-2691
