elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
344.6542,155,-136,110,242,-134,-210,88,-78
344.6547,155,-136,110,242,-134,-210,88,-78
344.6552,155,-136,110,242,-134,-210,88,-78
344.6557,155,-136,110,242,-134,-209,87,-78
344.6562,155,-136,110,242,-134,-209,87,-78
344.6567,155,-136,109,242,-134,-210,87,-78
344.6572,155,-136,110,242,-134,-210,88,-78
344.6577,155,-135,110,242,-134,-209,87,-78
344.6582,155,-136,110,241,-134,-210,87,-78
344.6587,155,-136,110,241,-134,-210,87,-78
344.6592,155,-136,110,241,-134,-209,87,-77
344.6597,155,-136,110,240,-134,-209,86,-77
344.6602,155,-136,110,240,-134,-209,86,-78
344.6607,155,-136,110,240,-135,-209,86,-77
344.6612,155,-136,110,241,-135,-210,87,-78
344.6617,155,-136,110,241,-134,-209,87,-78
344.6622,155,-136,110,242,-135,-209,87,-78
344.6627,155,-136,110,242,-135,-209,87,-78
344.6632,155,-136,110,242,-135,-210,87,-78
344.6637,155,-136,110,242,-135,-209,87,-77
344.6642,155,-136,110,243,-135,-210,87,-77
344.6647,155,-136,110,242,-135,-209,87,-77
344.6652,155,-136,109,243,-135,-209,87,-78
344.6657,156,-136,108,243,-135,-210,87,-78
344.6662,155,-136,108,243,-135,-209,88,-78
344.6667,155,-136,109,243,-135,-209,88,-78
344.6672,155,-135,109,243,-135,-210,87,-78
344.6677,155,-136,109,243,-135,-209,88,-78
344.6682,155,-136,109,243,-135,-210,88,-78
344.6687,155,-136,109,244,-135,-209,88,-78
344.6692,155,-136,110,243,-135,-209,88,-78
344.6697,155,-136,110,243,-135,-209,88,-77
344.6702,155,-136,109,241,-135,-209,88,-77
344.6707,155,-136,109,240,-134,-209,87,-78
344.6712,155,-135,109,239,-135,-209,87,-78
344.6717,155,-136,109,239,-134,-210,87,-78
344.6722,155,-136,109,239,-134,-209,86,-78
344.6727,155,-136,110,240,-134,-209,86,-78
344.6732,155,-136,110,240,-134,-209,86,-78
